dimension,group,n_rows,mapped_expression_rows,expression_missing_rate
overall,all,39552,39094,0.011579692556634304
label,0,19776,19547,0.011579692556634304
label,1,19776,19547,0.011579692556634304
tissue,blood,9626,9480,0.015167255350093497
tissue,bone,2686,2672,0.0052122114668652275
tissue,brain,1348,1342,0.004451038575667656
tissue,breast,128,124,0.03125
tissue,colon,116,114,0.017241379310344827
tissue,kidney,110,110,0.0
tissue,lung,1270,1264,0.004724409448818898
tissue,lymph node,6756,6724,0.004736530491415038
tissue,lymphoid,13760,13564,0.014244186046511629
tissue,ovary,472,468,0.00847457627118644
tissue,spleen,236,230,0.025423728813559324
tissue,thymus,730,726,0.005479452054794521
tissue,umbilical cord blood,142,138,0.028169014084507043
tissue,uterine cervix,2172,2138,0.01565377532228361
