target_tissue,mhc_restriction,total_pairs_before_filter,train_pairs,test_pairs,train_rows,test_rows,train_positive_rows,train_negative_rows,test_positive_rows,test_negative_rows,n_uniprot_ids
spleen,H2-Kd,570,470,100,940,200,470,470,100,100,504
spleen,H2-Kb,541,441,100,882,200,441,441,100,100,458
spleen,H2-Db,536,436,100,872,200,436,436,100,100,475
colon,H2-Db,528,428,100,856,200,428,428,100,100,466
liver,H2-Db,513,413,100,826,200,413,413,100,100,451
liver,H2-Kb,467,367,100,734,200,367,367,100,100,387
lymphoid,H2-Db,456,356,100,712,200,356,356,100,100,409
lung,H2-Db,428,328,100,656,200,328,328,100,100,385
skin,H2-Db,425,325,100,650,200,325,325,100,100,382
thymus,H2-Db,411,311,100,622,200,311,311,100,100,372
small intestine,H2-Db,389,289,100,578,200,289,289,100,100,348
liver,H2-Kd,374,274,100,548,200,274,274,100,100,318
skin,H2-Kd,355,255,100,510,200,255,255,100,100,318
skin,H2-Kb,352,252,100,504,200,252,252,100,100,295
kidney,H2-Db,331,231,100,462,200,231,231,100,100,301
prostate,H2-Db,327,227,100,454,200,227,227,100,100,299
thymus,H2-Kd,323,223,100,446,200,223,223,100,100,308
colon,H2-Kb,308,208,100,416,200,208,208,100,100,269
bone marrow,H2-Db,303,203,100,406,200,203,203,100,100,282
uterus,H2-Db,295,195,100,390,200,195,195,100,100,275
spleen,H2-Kk,245,145,100,290,200,145,145,100,100,224
pancreas,H2-Kd,240,140,100,280,200,140,140,100,100,229
skin,H2-Kk,225,125,100,250,200,125,125,100,100,209
liver,H2-Kk,224,124,100,248,200,124,124,100,100,203
