source_tissue,n_hla_alleles,n_molecule_parent_uniprot_ids,n_peptides
lymphoid,113,11664,81156
blood,101,13570,104559
NA,94,958,2238
lung,53,9949,33772
kidney,45,4958,8678
liver,40,3970,6595
spleen,40,6351,14716
bone marrow,39,3598,5895
skin,39,1966,2759
thymus,37,5520,10649
thyroid,37,3384,5540
colon,36,3572,5508
brain,35,4988,9945
lymph node,34,8386,26963
testis,34,2177,3003
cerebellum,33,1983,2612
adrenal gland,32,2957,4289
small intestine,32,3644,5642
aorta,31,1561,2070
bladder,30,1794,2367
breast,30,2135,3054
esophagus,30,2586,3842
heart,29,1845,2578
muscle,29,1064,1354
pancreas,29,891,1049
tongue,28,2696,3899
ovary,27,3858,6267
trachea,26,2148,2882
prostate,21,803,898
other,16,396,455
central nervous system (CNS),13,2064,2697
pleural effusion,11,685,810
uterine cervix,11,6247,15302
uterus,11,1829,2380
gastrointestinal tract,9,30,31
gallbladder,7,415,435
spinal cord,6,107,111
embryo,2,6,8
adipose tissue,1,1,1
bone,1,3296,5490
metastatic site,1,1,1
mouth,1,1,1
oropharynx,1,1,1
peripheral nervous system,1,2,2
pituitary gland,1,2,2
salivary gland,1,2,2
stomach,1,3,3
umbilical cord blood,1,671,739
