uniprot_id,gene_id
A0A087WUL8,ENSG00000271383
A0A087WUL8,ENSG00000286185
A0A0C4DGP1,ENSG00000286075
A0A1B0GVP4,ENSG00000178177
A0AV02,ENSG00000221955
A0AV96,ENSG00000163694
A0AVF1,ENSG00000105948
A0AVI4,ENSG00000168936
A0AVT1,ENSG00000033178
A0FGR8,ENSG00000117868
A0JNW5,ENSG00000111647
A0MZ66,ENSG00000187164
A1A4S6,ENSG00000071205
A1A5C7,ENSG00000137266
A1KXE4,ENSG00000152102
A1KZ92,ENSG00000147485
A1L0T0,ENSG00000105135
A2RRP1,ENSG00000151779
A2RTX5,ENSG00000185418
A2RU54,ENSG00000188816
A2RUS2,ENSG00000105339
A2VDJ0,ENSG00000121210
A3KMH1,ENSG00000102763
A3KN83,ENSG00000139697
A4D1U4,ENSG00000257093
A5A3E0,ENSG00000196604
A5PL33,ENSG00000133619
A5YKK6,ENSG00000125107
A6NC98,ENSG00000168071
A6NDG6,ENSG00000184207
A6NDU8,ENSG00000205765
A6NFI3,ENSG00000205903
A6NHR9,ENSG00000101596
A6NHT5,ENSG00000188620
A6NHX0,ENSG00000274070
A6NJ78,ENSG00000169519
A6NKT7,ENSG00000153165
A6NNZ2,ENSG00000173213
A7E2V4,ENSG00000214655
A8K0Z3,ENSG00000181404
A8MPS7,ENSG00000161179
A8MW92,ENSG00000129292
A8MWY0,ENSG00000164659
A9UHW6,ENSG00000125457
B0I1T2,ENSG00000136286
B0YJ81,ENSG00000165996
B2RTY4,ENSG00000066933
B2RXH8,ENSG00000275774
B4DX44,ENSG00000234444
B5ME19,ENSG00000205609
C9JN71,ENSG00000257446
E9PAV3,ENSG00000196531
F8WCM5,ENSG00000129965
G9CGD6,ENSG00000288520
J3KNZ9,ENSG00000156860
O00116,ENSG00000018510
O00139,ENSG00000068796
O00148,ENSG00000123136
O00151,ENSG00000107438
O00154,ENSG00000097021
O00159,ENSG00000197879
O00160,ENSG00000142347
O00165,ENSG00000143575
O00170,ENSG00000110711
O00186,ENSG00000116266
O00189,ENSG00000221838
O00192,ENSG00000099889
O00203,ENSG00000132842
O00214,ENSG00000116977
O00217,ENSG00000110717
O00220,ENSG00000104689
O00221,ENSG00000146232
O00231,ENSG00000108671
O00232,ENSG00000197170
O00237,ENSG00000239305
O00255,ENSG00000133895
O00267,ENSG00000196235
O00273,ENSG00000160049
O00291,ENSG00000127946
O00299,ENSG00000213719
O00303,ENSG00000175390
O00308,ENSG00000198373
O00311,ENSG00000097046
O00329,ENSG00000171608
O00391,ENSG00000116260
O00398,ENSG00000078589
O00400,ENSG00000169359
O00401,ENSG00000106299
O00410,ENSG00000065150
O00411,ENSG00000099821
O00418,ENSG00000103319
O00422,ENSG00000150459
O00425,ENSG00000136231
O00429,ENSG00000087470
O00443,ENSG00000011405
O00462,ENSG00000109323
O00469,ENSG00000152952
O00471,ENSG00000070367
O00472,ENSG00000118985
O00478,ENSG00000111801
O00483,ENSG00000189043
O00487,ENSG00000115233
O00488,ENSG00000142684
O00505,ENSG00000102753
O00506,ENSG00000115694
O00507,ENSG00000114374
O00541,ENSG00000100029
O00560,ENSG00000137575
O00566,ENSG00000124383
O00567,ENSG00000101361
O00571,ENSG00000215301
O00587,ENSG00000100060
O00626,ENSG00000102962
O00635,ENSG00000112343
O00743,ENSG00000119414
O00748,ENSG00000172831
O00750,ENSG00000133056
O00754,ENSG00000104774
O00762,ENSG00000175063
O00763,ENSG00000076555
O00764,ENSG00000160209
O00767,ENSG00000099194
O14492,ENSG00000160999
O14494,ENSG00000067113
O14497,ENSG00000117713
O14503,ENSG00000134107
O14521,ENSG00000204370
O14544,ENSG00000170677
O14545,ENSG00000135148
O14548,ENSG00000115944
O14561,ENSG00000004779
O14578,ENSG00000122966
O14579,ENSG00000105669
O14617,ENSG00000065000
O14641,ENSG00000004975
O14646,ENSG00000153922
O14647,ENSG00000173575
O14656,ENSG00000136827
O14662,ENSG00000124222
O14672,ENSG00000137845
O14686,ENSG00000167548
O14715,ENSG00000169629
O14727,ENSG00000120868
O14730,ENSG00000101782
O14733,ENSG00000076984
O14744,ENSG00000100462
O14745,ENSG00000109062
O14757,ENSG00000149554
O14772,ENSG00000254685
O14773,ENSG00000166340
O14776,ENSG00000113649
O14777,ENSG00000080986
O14787,ENSG00000105576
O14791,ENSG00000100342
O14802,ENSG00000148606
O14818,ENSG00000101182
O14828,ENSG00000116521
O14879,ENSG00000119917
O14896,ENSG00000117595
O14908,ENSG00000123159
O14929,ENSG00000128708
O14931,ENSG00000204475
O14936,ENSG00000147044
O14939,ENSG00000129219
O14949,ENSG00000164405
O14964,ENSG00000185359
O14965,ENSG00000087586
O14972,ENSG00000157538
O14974,ENSG00000058272
O14975,ENSG00000140284
O14976,ENSG00000178950
O14977,ENSG00000155096
O14979,ENSG00000152795
O14980,ENSG00000082898
O14981,ENSG00000095564
O14986,ENSG00000107242
O15014,ENSG00000180357
O15020,ENSG00000173898
O15021,ENSG00000069020
O15027,ENSG00000148396
O15031,ENSG00000196576
O15033,ENSG00000119682
O15042,ENSG00000163714
O15050,ENSG00000168016
O15055,ENSG00000132326
O15056,ENSG00000078269
O15060,ENSG00000166860
O15062,ENSG00000168795
O15063,ENSG00000166398
O15066,ENSG00000101350
O15067,ENSG00000178921
O15069,ENSG00000136274
O15078,ENSG00000198707
O15083,ENSG00000187672
O15111,ENSG00000213341
O15118,ENSG00000141458
O15119,ENSG00000135111
O15121,ENSG00000143753
O15131,ENSG00000196911
O15144,ENSG00000163466
O15145,ENSG00000111229
O15160,ENSG00000171453
O15164,ENSG00000122779
O15169,ENSG00000103126
O15173,ENSG00000164040
O15211,ENSG00000237441
O15212,ENSG00000204220
O15213,ENSG00000227057
O15217,ENSG00000170899
O15228,ENSG00000116906
O15234,ENSG00000108349
O15254,ENSG00000087008
O15258,ENSG00000157916
O15259,ENSG00000144061
O15269,ENSG00000090054
O15287,ENSG00000221829
O15294,ENSG00000147162
O15297,ENSG00000170836
O15305,ENSG00000140650
O15321,ENSG00000100926
O15327,ENSG00000109452
O15357,ENSG00000165458
O15360,ENSG00000187741
O15371,ENSG00000100353
O15372,ENSG00000147677
O15381,ENSG00000143748
O15392,ENSG00000089685
O15397,ENSG00000133704
O15417,ENSG00000182095
O15427,ENSG00000141526
O15438,ENSG00000108846
O15439,ENSG00000125257
O15440,ENSG00000114770
O15479,ENSG00000099399
O15503,ENSG00000186480
O15519,ENSG00000003402
O15530,ENSG00000140992
O15533,ENSG00000231925
O15550,ENSG00000147050
O15554,ENSG00000104783
O43143,ENSG00000109606
O43147,ENSG00000141258
O43148,ENSG00000101654
O43150,ENSG00000151693
O43156,ENSG00000101407
O43159,ENSG00000132275
O43164,ENSG00000198961
O43166,ENSG00000197555
O43181,ENSG00000164258
O43187,ENSG00000134070
O43242,ENSG00000108344
O43252,ENSG00000138801
O43264,ENSG00000086827
O43290,ENSG00000175467
O43292,ENSG00000197858
O43293,ENSG00000167657
O43296,ENSG00000083844
O43298,ENSG00000169155
O43299,ENSG00000242802
O43303,ENSG00000103540
O43306,ENSG00000174233
O43307,ENSG00000131089
O43314,ENSG00000145725
O43325,ENSG00000102897
O43353,ENSG00000104312
O43379,ENSG00000075702
O43390,ENSG00000125944
O43395,ENSG00000117360
O43396,ENSG00000091164
O43399,ENSG00000101150
O43405,ENSG00000100473
O43414,ENSG00000117419
O43422,ENSG00000137492
O43426,ENSG00000159082
O43427,ENSG00000172500
O43432,ENSG00000075151
O43463,ENSG00000101945
O43491,ENSG00000079819
O43502,ENSG00000108384
O43504,ENSG00000134248
O43529,ENSG00000115526
O43556,ENSG00000127990
O43557,ENSG00000125735
O43566,ENSG00000169220
O43567,ENSG00000082996
O43592,ENSG00000184575
O43617,ENSG00000054116
O43633,ENSG00000130724
O43639,ENSG00000071051
O43660,ENSG00000171566
O43663,ENSG00000198901
O43674,ENSG00000136521
O43676,ENSG00000119013
O43678,ENSG00000131495
O43681,ENSG00000198356
O43683,ENSG00000169679
O43684,ENSG00000154473
O43707,ENSG00000130402
O43709,ENSG00000071462
O43731,ENSG00000100196
O43736,ENSG00000078596
O43739,ENSG00000008256
O43747,ENSG00000166747
O43752,ENSG00000135823
O43760,ENSG00000108639
O43776,ENSG00000134440
O43791,ENSG00000121067
O43795,ENSG00000128641
O43805,ENSG00000176101
O43808,ENSG00000100372
O43813,ENSG00000115365
O43837,ENSG00000101365
O43847,ENSG00000078618
O43861,ENSG00000166377
O43865,ENSG00000168710
O43889,ENSG00000107175
O43913,ENSG00000164815
O43929,ENSG00000115947
O43933,ENSG00000127980
O60216,ENSG00000164754
O60229,ENSG00000160145
O60231,ENSG00000204560
O60237,ENSG00000077157
O60244,ENSG00000180182
O60256,ENSG00000141127
O60264,ENSG00000153147
O60266,ENSG00000138031
O60271,ENSG00000008294
O60281,ENSG00000188994
O60287,ENSG00000142207
O60291,ENSG00000102858
O60292,ENSG00000105738
O60293,ENSG00000133858
O60296,ENSG00000115993
O60306,ENSG00000021776
O60307,ENSG00000099308
O60308,ENSG00000116198
O60312,ENSG00000206190
O60313,ENSG00000198836
O60318,ENSG00000160294
O60330,ENSG00000253159
O60331,ENSG00000186111
O60333,ENSG00000054523
O60336,ENSG00000137802
O60337,ENSG00000145495
O60341,ENSG00000004487
O60343,ENSG00000136111
O60346,ENSG00000081913
O60353,ENSG00000164930
O60381,ENSG00000105856
O60427,ENSG00000149485
O60443,ENSG00000105928
O60449,ENSG00000054219
O60449,ENSG00000248672
O60476,ENSG00000198162
O60478,ENSG00000077585
O60486,ENSG00000136040
O60488,ENSG00000068366
O60502,ENSG00000198408
O60506,ENSG00000135316
O60518,ENSG00000137040
O60524,ENSG00000165525
O60563,ENSG00000129315
O60566,ENSG00000156970
O60573,ENSG00000135930
O60610,ENSG00000131504
O60613,ENSG00000183291
O60645,ENSG00000180104
O60658,ENSG00000073417
O60664,ENSG00000105355
O60667,ENSG00000162894
O60669,ENSG00000118596
O60671,ENSG00000113456
O60673,ENSG00000009413
O60674,ENSG00000096968
O60684,ENSG00000025800
O60701,ENSG00000109814
O60711,ENSG00000110031
O60716,ENSG00000198561
O60725,ENSG00000116237
O60749,ENSG00000205302
O60763,ENSG00000138768
O60784,ENSG00000100284
O60812,ENSG00000179172
O60814,ENSG00000197903
O60826,ENSG00000101997
O60828,ENSG00000102103
O60831,ENSG00000243279
O60832,ENSG00000130826
O60841,ENSG00000158417
O60861,ENSG00000007237
O60869,ENSG00000107223
O60879,ENSG00000147202
O60885,ENSG00000141867
O60888,ENSG00000112514
O60906,ENSG00000135587
O60942,ENSG00000111880
O75037,ENSG00000116852
O75044,ENSG00000266028
O75051,ENSG00000076356
O75054,ENSG00000143061
O75064,ENSG00000198837
O75072,ENSG00000106692
O75083,ENSG00000071127
O75116,ENSG00000134318
O75122,ENSG00000163539
O75140,ENSG00000100150
O75143,ENSG00000175224
O75144,ENSG00000160223
O75146,ENSG00000130787
O75147,ENSG00000124006
O75150,ENSG00000103549
O75151,ENSG00000197724
O75153,ENSG00000132361
O75161,ENSG00000131697
O75164,ENSG00000066135
O75165,ENSG00000138246
O75175,ENSG00000088038
O75177,ENSG00000184402
O75179,ENSG00000132466
O75182,ENSG00000127511
O75190,ENSG00000105993
O75191,ENSG00000093217
O75223,ENSG00000006625
O75251,ENSG00000115286
O75298,ENSG00000125744
O75306,ENSG00000158864
O75312,ENSG00000109917
O75326,ENSG00000138623
O75330,ENSG00000072571
O75348,ENSG00000136888
O75351,ENSG00000119541
O75354,ENSG00000197586
O75362,ENSG00000171940
O75367,ENSG00000113648
O75369,ENSG00000136068
O75376,ENSG00000141027
O75385,ENSG00000177169
O75394,ENSG00000243147
O75396,ENSG00000265808
O75400,ENSG00000196504
O75410,ENSG00000147526
O75417,ENSG00000051341
O75419,ENSG00000093009
O75439,ENSG00000105819
O75448,ENSG00000008838
O75460,ENSG00000178607
O75477,ENSG00000107566
O75487,ENSG00000076716
O75489,ENSG00000213619
O75496,ENSG00000112312
O75530,ENSG00000074266
O75533,ENSG00000115524
O75534,ENSG00000009307
O75563,ENSG00000005020
O75564,ENSG00000234616
O75592,ENSG00000005810
O75643,ENSG00000144028
O75663,ENSG00000143155
O75665,ENSG00000046651
O75691,ENSG00000120800
O75694,ENSG00000113569
O75695,ENSG00000102218
O75717,ENSG00000198554
O75787,ENSG00000182220
O75792,ENSG00000104889
O75794,ENSG00000151465
O75808,ENSG00000103326
O75821,ENSG00000130811
O75822,ENSG00000104131
O75843,ENSG00000213983
O75845,ENSG00000109929
O75865,ENSG00000007255
O75879,ENSG00000059691
O75882,ENSG00000088812
O75886,ENSG00000115145
O75891,ENSG00000144908
O75909,ENSG00000090061
O75916,ENSG00000108370
O75925,ENSG00000033800
O75935,ENSG00000137100
O75940,ENSG00000119953
O75955,ENSG00000137312
O75962,ENSG00000038382
O75964,ENSG00000167283
O75970,ENSG00000107186
O75976,ENSG00000108582
O76003,ENSG00000108010
O76021,ENSG00000171490
O76031,ENSG00000166855
O76036,ENSG00000189430
O76062,ENSG00000149809
O76071,ENSG00000144021
O76094,ENSG00000174780
O94759,ENSG00000142185
O94768,ENSG00000081320
O94776,ENSG00000149480
O94782,ENSG00000162607
O94804,ENSG00000072786
O94806,ENSG00000115825
O94808,ENSG00000131459
O94822,ENSG00000198862
O94826,ENSG00000154174
O94829,ENSG00000117408
O94830,ENSG00000085788
O94832,ENSG00000176658
O94842,ENSG00000092203
O94855,ENSG00000150961
O94864,ENSG00000119760
O94868,ENSG00000137478
O94874,ENSG00000014123
O94887,ENSG00000006607
O94888,ENSG00000163960
O94889,ENSG00000114648
O94898,ENSG00000198799
O94905,ENSG00000147475
O94906,ENSG00000101161
O94913,ENSG00000165494
O94915,ENSG00000075539
O94916,ENSG00000102908
O94919,ENSG00000149218
O94925,ENSG00000115419
O94927,ENSG00000249115
O94952,ENSG00000135108
O94953,ENSG00000127663
O94955,ENSG00000164292
O94964,ENSG00000149639
O94966,ENSG00000172046
O94967,ENSG00000085433
O94972,ENSG00000108395
O94973,ENSG00000183020
O94979,ENSG00000138674
O94985,ENSG00000171603
O94986,ENSG00000103995
O94992,ENSG00000186834
O95067,ENSG00000157456
O95070,ENSG00000174851
O95071,ENSG00000104517
O95072,ENSG00000100918
O95081,ENSG00000106351
O95104,ENSG00000156304
O95140,ENSG00000116688
O95155,ENSG00000130939
O95159,ENSG00000162300
O95163,ENSG00000070061
O95166,ENSG00000170296
O95167,ENSG00000170906
O95168,ENSG00000065518
O95198,ENSG00000109466
O95199,ENSG00000136161
O95214,ENSG00000104660
O95219,ENSG00000114520
O95229,ENSG00000122952
O95235,ENSG00000112984
O95236,ENSG00000128284
O95239,ENSG00000090889
O95243,ENSG00000129071
O95248,ENSG00000100241
O95255,ENSG00000091262
O95260,ENSG00000107669
O95271,ENSG00000173273
O95273,ENSG00000166946
O95295,ENSG00000143553
O95298,ENSG00000151366
O95299,ENSG00000130414
O95319,ENSG00000048740
O95347,ENSG00000136824
O95359,ENSG00000138162
O95361,ENSG00000221926
O95365,ENSG00000178951
O95373,ENSG00000205339
O95379,ENSG00000145779
O95382,ENSG00000142733
O95391,ENSG00000164609
O95402,ENSG00000105085
O95405,ENSG00000157077
O95425,ENSG00000197321
O95427,ENSG00000197563
O95433,ENSG00000100591
O95450,ENSG00000087116
O95453,ENSG00000140694
O95466,ENSG00000184922
O95470,ENSG00000166224
O95476,ENSG00000175826
O95477,ENSG00000165029
O95478,ENSG00000164346
O95486,ENSG00000113615
O95490,ENSG00000117114
O95503,ENSG00000183741
O95562,ENSG00000213064
O95563,ENSG00000143158
O95573,ENSG00000123983
O95602,ENSG00000068654
O95613,ENSG00000160299
O95620,ENSG00000105865
O95625,ENSG00000066422
O95628,ENSG00000080802
O95630,ENSG00000124356
O95644,ENSG00000131196
O95671,ENSG00000169093
O95707,ENSG00000105171
O95714,ENSG00000128731
O95721,ENSG00000099940
O95757,ENSG00000164070
O95758,ENSG00000119314
O95759,ENSG00000204634
O95782,ENSG00000196961
O95786,ENSG00000107201
O95789,ENSG00000163867
O95793,ENSG00000124214
O95801,ENSG00000243725
O95807,ENSG00000183726
O95816,ENSG00000112208
O95817,ENSG00000151929
O95819,ENSG00000071054
O95825,ENSG00000205758
O95831,ENSG00000156709
O95833,ENSG00000169583
O95834,ENSG00000125746
O95835,ENSG00000131023
O95837,ENSG00000156049
O95848,ENSG00000183828
O95861,ENSG00000162813
O95864,ENSG00000134824
O95870,ENSG00000204427
O95905,ENSG00000122882
O95977,ENSG00000125910
O95983,ENSG00000071655
O95985,ENSG00000100038
O96005,ENSG00000104853
O96006,ENSG00000214717
O96009,ENSG00000131400
O96018,ENSG00000011132
O96019,ENSG00000136518
O96020,ENSG00000175305
O96028,ENSG00000109685
P00156,ENSG00000198727
P00338,ENSG00000134333
P00367,ENSG00000148672
P00387,ENSG00000100243
P00395,ENSG00000198804
