From	To
A0A087WUL8	ENSG00000286185.1
A0A087WUL8	ENSG00000271383.10
A0A0C4DGP1	ENSG00000286075.3
A0A0G2JH50	ENSG00000206452.10
A0A0G2JH50	ENSG00000206435.10
A0A140T8Y4	ENSG00000206505.13
A0A140T941	ENSG00000231834.10
A0A1B0GVP4	ENSG00000178177.18
A0A5S8K7D1	ENSG00000228080.10
A0AV02	ENSG00000221955.12
A0AV96	ENSG00000163694.16
A0AVF1	ENSG00000105948.14
A0AVI4	ENSG00000168936.13
A0AVT1	ENSG00000033178.14
A0FGR8	ENSG00000117868.19
A0JNW5	ENSG00000111647.14
A0MZ66	ENSG00000187164.21
A1A4S6	ENSG00000071205.13
A1A5C7	ENSG00000137266.15
A1KXE4	ENSG00000152102.19
A1KZ92	ENSG00000147485.14
A1L0T0	ENSG00000105135.17
A2RRP1	ENSG00000151779.15
A2RTX5	ENSG00000185418.17
A2RU54	ENSG00000188816.4
A2RUS2	ENSG00000105339.12
A2VDJ0	ENSG00000121210.17
A3KMH1	ENSG00000102763.19
A3KN83	ENSG00000139697.15
A4D1U4	ENSG00000257093.7
A4D1U4	ENSG00000262599.5
A5A3E0	ENSG00000196604.13
A5PL33	ENSG00000133619.19
A5YKK6	ENSG00000125107.20
A6NC98	ENSG00000168071.22
A6NDG6	ENSG00000184207.9
A6NDU8	ENSG00000205765.11
A6NFI3	ENSG00000205903.8
A6NHR9	ENSG00000101596.18
A6NHT5	ENSG00000188620.11
A6NHX0	ENSG00000274070.2
A6NJ78	ENSG00000169519.22
A6NKT7	ENSG00000153165.19
A6NNZ2	ENSG00000173213.11
A7E2V4	ENSG00000214655.11
A8K0Z3	ENSG00000181404.18
A8MPS7	ENSG00000161179.15
A8MW92	ENSG00000129292.22
A8MWY0	ENSG00000164659.16
A9UHW6	ENSG00000125457.16
B0I1T2	ENSG00000136286.17
B0YJ81	ENSG00000165996.15
B2RTY4	ENSG00000066933.18
B2RXH8	ENSG00000275774.3
B2RXH8	ENSG00000283370.2
B2RXH8	ENSG00000282530.2
B4DX44	ENSG00000234444.10
B5ME19	ENSG00000205609.14
C9JN71	ENSG00000257446.5
E9PAV3	ENSG00000196531.15
F8WCM5	ENSG00000129965.15
G9CGD6	ENSG00000288520.1
J3KNZ9	ENSG00000156860.16
L0R6Q1	ENSG00000293600.2
O00116	ENSG00000018510.19
O00139	ENSG00000068796.20
O00148	ENSG00000123136.16
O00151	ENSG00000107438.10
O00154	ENSG00000097021.22
O00159	ENSG00000197879.18
O00160	ENSG00000142347.22
O00165	ENSG00000143575.17
O00170	ENSG00000110711.12
O00186	ENSG00000116266.12
O00189	ENSG00000221838.13
O00192	ENSG00000099889.15
O00203	ENSG00000132842.17
O00214	ENSG00000116977.20
O00217	ENSG00000110717.14
O00220	ENSG00000104689.11
O00221	ENSG00000146232.18
O00231	ENSG00000108671.12
O00232	ENSG00000197170.11
O00237	ENSG00000239305.8
O00255	ENSG00000133895.20
O00267	ENSG00000196235.15
O00273	ENSG00000160049.13
O00291	ENSG00000127946.18
O00299	ENSG00000213719.9
O00299	ENSG00000206394.8
O00299	ENSG00000226248.6
O00299	ENSG00000226417.6
O00299	ENSG00000226651.6
O00299	ENSG00000223639.6
O00299	ENSG00000230685.6
O00303	ENSG00000175390.16
O00308	ENSG00000198373.14
O00311	ENSG00000097046.14
O00329	ENSG00000171608.19
O00391	ENSG00000116260.17
O00398	ENSG00000078589.14
O00400	ENSG00000169359.17
O00401	ENSG00000106299.9
O00410	ENSG00000065150.22
O00411	ENSG00000099821.15
O00418	ENSG00000103319.13
O00422	ENSG00000150459.14
